id_election;annee;type_election;tour;code_commune;libelle_commune;nom;nuance;parti_politique;famille_politique;voix;ratio_voix_inscrits;ratio_voix_exprimes
2022_pres_t1;2022;pres;1;69004;Alix;MACRON;ENS;En Marche / Renaissance;Centre;112;23.83;28.79
2022_pres_t1;2022;pres;1;69004;Alix;MÉLENCHON;FI;La France Insoumise;Gauche radicale;53;11.28;13.62
2022_pres_t1;2022;pres;1;69004;Alix;POUTOU;EXG;Nouveau Parti Anticapitaliste;Extreme gauche;0;0.0;0.0
2022_pres_t1;2022;pres;1;69004;Alix;PÉCRESSE;LR;Les Republicains;Droite;25;5.32;6.43
2022_pres_t1;2022;pres;1;69004;Alix;ROUSSEL;COM;Parti Communiste Francais;Gauche radicale;11;2.34;2.83
2022_pres_t1;2022;pres;1;69004;Alix;ZEMMOUR;EXD;Reconquete;Extreme droite;36;7.66;9.25
2022_pres_t1;2022;pres;1;69005;Ambérieux;ARTHAUD;EXG;Lutte Ouvriere;Extreme gauche;1;0.25;0.29
2022_pres_t1;2022;pres;1;69005;Ambérieux;DUPONT-AIGNAN;DLF;Debout la France;Droite souverainiste;8;1.97;2.34
2022_pres_t1;2022;pres;1;69005;Ambérieux;HIDALGO;SOC;Parti Socialiste;Gauche;1;0.25;0.29
2022_pres_t1;2022;pres;1;69005;Ambérieux;JADOT;ECO;Europe Ecologie Les Verts;Ecologie;12;2.95;3.51
2022_pres_t1;2022;pres;1;69005;Ambérieux;LASSALLE;DIV;Resistons;Divers;13;3.19;3.8
2022_pres_t1;2022;pres;1;69005;Ambérieux;LE PEN;RN;Rassemblement National;Extreme droite;122;29.98;35.67
2022_pres_t1;2022;pres;1;69005;Ambérieux;MACRON;ENS;En Marche / Renaissance;Centre;83;20.39;24.27
2022_pres_t1;2022;pres;1;69005;Ambérieux;MÉLENCHON;FI;La France Insoumise;Gauche radicale;35;8.6;10.23
2022_pres_t1;2022;pres;1;69005;Ambérieux;POUTOU;EXG;Nouveau Parti Anticapitaliste;Extreme gauche;0;0.0;0.0
2022_pres_t1;2022;pres;1;69005;Ambérieux;PÉCRESSE;LR;Les Republicains;Droite;24;5.9;7.02
2022_pres_t1;2022;pres;1;69005;Ambérieux;ROUSSEL;COM;Parti Communiste Francais;Gauche radicale;5;1.23;1.46
2022_pres_t1;2022;pres;1;69005;Ambérieux;ZEMMOUR;EXD;Reconquete;Extreme droite;38;9.34;11.11
2022_pres_t1;2022;pres;1;69006;Amplepuis;ARTHAUD;EXG;Lutte Ouvriere;Extreme gauche;17;0.49;0.65
2022_pres_t1;2022;pres;1;69006;Amplepuis;DUPONT-AIGNAN;DLF;Debout la France;Droite souverainiste;76;2.17;2.91
2022_pres_t1;2022;pres;1;69006;Amplepuis;HIDALGO;SOC;Parti Socialiste;Gauche;40;1.14;1.53
2022_pres_t1;2022;pres;1;69006;Amplepuis;JADOT;ECO;Europe Ecologie Les Verts;Ecologie;95;2.71;3.64
2022_pres_t1;2022;pres;1;69006;Amplepuis;LASSALLE;DIV;Resistons;Divers;91;2.6;3.49
2022_pres_t1;2022;pres;1;69006;Amplepuis;LE PEN;RN;Rassemblement National;Extreme droite;754;21.52;28.9
2022_pres_t1;2022;pres;1;69006;Amplepuis;MACRON;ENS;En Marche / Renaissance;Centre;678;19.35;25.99
2022_pres_t1;2022;pres;1;69006;Amplepuis;MÉLENCHON;FI;La France Insoumise;Gauche radicale;482;13.76;18.47
2022_pres_t1;2022;pres;1;69006;Amplepuis;POUTOU;EXG;Nouveau Parti Anticapitaliste;Extreme gauche;16;0.46;0.61
2022_pres_t1;2022;pres;1;69006;Amplepuis;PÉCRESSE;LR;Les Republicains;Droite;125;3.57;4.79
2022_pres_t1;2022;pres;1;69006;Amplepuis;ROUSSEL;COM;Parti Communiste Francais;Gauche radicale;37;1.06;1.42
2022_pres_t1;2022;pres;1;69006;Amplepuis;ZEMMOUR;EXD;Reconquete;Extreme droite;198;5.65;7.59
2022_pres_t1;2022;pres;1;69007;Ampuis;ARTHAUD;EXG;Lutte Ouvriere;Extreme gauche;15;0.7;0.89
2022_pres_t1;2022;pres;1;69007;Ampuis;DUPONT-AIGNAN;DLF;Debout la France;Droite souverainiste;47;2.2;2.78
2022_pres_t1;2022;pres;1;69007;Ampuis;HIDALGO;SOC;Parti Socialiste;Gauche;28;1.31;1.65
2022_pres_t1;2022;pres;1;69007;Ampuis;JADOT;ECO;Europe Ecologie Les Verts;Ecologie;55;2.57;3.25
2022_pres_t1;2022;pres;1;69007;Ampuis;LASSALLE;DIV;Resistons;Divers;41;1.92;2.42
2022_pres_t1;2022;pres;1;69007;Ampuis;LE PEN;RN;Rassemblement National;Extreme droite;488;22.83;28.82
2022_pres_t1;2022;pres;1;69007;Ampuis;MACRON;ENS;En Marche / Renaissance;Centre;494;23.11;29.18
2022_pres_t1;2022;pres;1;69007;Ampuis;MÉLENCHON;FI;La France Insoumise;Gauche radicale;192;8.98;11.34
2022_pres_t1;2022;pres;1;69007;Ampuis;POUTOU;EXG;Nouveau Parti Anticapitaliste;Extreme gauche;13;0.61;0.77
2022_pres_t1;2022;pres;1;69007;Ampuis;PÉCRESSE;LR;Les Republicains;Droite;102;4.77;6.02
2022_pres_t1;2022;pres;1;69007;Ampuis;ROUSSEL;COM;Parti Communiste Francais;Gauche radicale;48;2.25;2.84
2022_pres_t1;2022;pres;1;69007;Ampuis;ZEMMOUR;EXD;Reconquete;Extreme droite;170;7.95;10.04
2022_pres_t1;2022;pres;1;69008;Ancy;ARTHAUD;EXG;Lutte Ouvriere;Extreme gauche;3;0.61;0.72
2022_pres_t1;2022;pres;1;69008;Ancy;DUPONT-AIGNAN;DLF;Debout la France;Droite souverainiste;22;4.45;5.28
2022_pres_t1;2022;pres;1;69008;Ancy;HIDALGO;SOC;Parti Socialiste;Gauche;7;1.42;1.68
2022_pres_t1;2022;pres;1;69008;Ancy;JADOT;ECO;Europe Ecologie Les Verts;Ecologie;22;4.45;5.28
2022_pres_t1;2022;pres;1;69008;Ancy;LASSALLE;DIV;Resistons;Divers;16;3.24;3.84
2022_pres_t1;2022;pres;1;69008;Ancy;LE PEN;RN;Rassemblement National;Extreme droite;117;23.68;28.06
2022_pres_t1;2022;pres;1;69008;Ancy;MACRON;ENS;En Marche / Renaissance;Centre;112;22.67;26.86
2022_pres_t1;2022;pres;1;69008;Ancy;MÉLENCHON;FI;La France Insoumise;Gauche radicale;66;13.36;15.83
2022_pres_t1;2022;pres;1;69008;Ancy;POUTOU;EXG;Nouveau Parti Anticapitaliste;Extreme gauche;3;0.61;0.72
