id_election;annee;type_election;tour;code_departement;libelle_departement;code_commune;libelle_commune;inscrits;abstentions;votants;nuls;exprimes;taux_participation;taux_abstention;taux_nuls_inscrits;taux_exprimes_inscrits
2014_euro_t1;2014;euro;1;69;Rhône;69054;Chénelette;277;124;153;8;145;55.23;44.77;2.89;52.35
2014_euro_t1;2014;euro;1;69;Rhône;69055;Les Chères;983;540;443;11;432;45.07;54.93;1.12;43.95
2014_euro_t1;2014;euro;1;69;Rhône;69056;Chessy-Les-Mines;1272;732;540;21;519;42.45;57.55;1.65;40.8
2014_euro_t1;2014;euro;1;69;Rhône;69057;Chevinay;412;170;242;12;230;58.74;41.26;2.91;55.83
2014_euro_t1;2014;euro;1;69;Rhône;69058;Chiroubles;308;165;143;14;129;46.43;53.57;4.55;41.88
2014_euro_t1;2014;euro;1;69;Rhône;69059;Civrieux-D'Azergues;1071;529;542;13;529;50.61;49.39;1.21;49.39
2014_euro_t1;2014;euro;1;69;Rhône;69060;Claveisolles;459;259;200;12;188;43.57;56.43;2.61;40.96
2014_euro_t1;2014;euro;1;69;Rhône;69061;Cogny;873;458;415;17;398;47.54;52.46;1.95;45.59
2014_euro_t1;2014;euro;1;69;Rhône;69062;Coise;581;300;281;5;276;48.36;51.64;0.86;47.5
2014_euro_t1;2014;euro;1;69;Rhône;69063;Collonges-Au-Mont-D'Or;3031;1613;1418;27;1391;46.78;53.22;0.89;45.89
2014_euro_t1;2014;euro;1;69;Rhône;69064;Condrieu;2717;1479;1238;32;1206;45.56;54.44;1.18;44.39
2014_euro_t1;2014;euro;1;69;Rhône;69065;Corcelles-En-Beaujolais;644;356;288;11;277;44.72;55.28;1.71;43.01
2014_euro_t1;2014;euro;1;69;Rhône;69066;Cours-La-Ville;2786;1526;1260;70;1190;45.23;54.77;2.51;42.71
2014_euro_t1;2014;euro;1;69;Rhône;69067;Courzieu;838;481;357;8;349;42.6;57.4;0.95;41.65
2014_euro_t1;2014;euro;1;69;Rhône;69068;Couzon-Au-Mont-D'Or;1731;869;862;20;842;49.8;50.2;1.16;48.64
2014_euro_t1;2014;euro;1;69;Rhône;69069;Craponne;7460;4031;3429;80;3349;45.97;54.03;1.07;44.89
2014_euro_t1;2014;euro;1;69;Rhône;69070;Cublize;891;542;349;18;331;39.17;60.83;2.02;37.15
2014_euro_t1;2014;euro;1;69;Rhône;69071;Curis-Au-Mont-D'Or;777;367;410;11;399;52.77;47.23;1.42;51.35
2014_euro_t1;2014;euro;1;69;Rhône;69072;Dardilly;6362;3291;3071;61;3010;48.27;51.73;0.96;47.31
2014_euro_t1;2014;euro;1;69;Rhône;69073;Dareizé;370;178;192;9;183;51.89;48.11;2.43;49.46
2014_euro_t1;2014;euro;1;69;Rhône;69074;Denicé;1088;595;493;14;479;45.31;54.69;1.29;44.03
2014_euro_t1;2014;euro;1;69;Rhône;69075;Dième;125;39;86;7;79;68.8;31.2;5.6;63.2
2014_euro_t1;2014;euro;1;69;Rhône;69076;Dommartin;2123;1032;1091;21;1070;51.39;48.61;0.99;50.4
2014_euro_t1;2014;euro;1;69;Rhône;69077;Dracé;692;420;272;12;260;39.31;60.69;1.73;37.57
2014_euro_t1;2014;euro;1;69;Rhône;69078;Duerne;561;295;266;10;256;47.42;52.58;1.78;45.63
2014_euro_t1;2014;euro;1;69;Rhône;69080;Echalas;1153;650;503;18;485;43.63;56.37;1.56;42.06
2014_euro_t1;2014;euro;1;69;Rhône;69081;Ecully;12644;6935;5709;86;5623;45.15;54.85;0.68;44.47
2014_euro_t1;2014;euro;1;69;Rhône;69082;Emeringes;186;87;99;5;94;53.23;46.77;2.69;50.54
2014_euro_t1;2014;euro;1;69;Rhône;69083;Eveux;826;410;416;13;403;50.36;49.64;1.57;48.79
2014_euro_t1;2014;euro;1;69;Rhône;69084;Fleurie;980;538;442;18;424;45.1;54.9;1.84;43.27
2014_euro_t1;2014;euro;1;69;Rhône;69085;Fleurieu-Sur-Saône;982;490;492;10;482;50.1;49.9;1.02;49.08
2014_euro_t1;2014;euro;1;69;Rhône;69086;Fleurieux-Sur-L'Arbresle;1698;867;831;18;813;48.94;51.06;1.06;47.88
2014_euro_t1;2014;euro;1;69;Rhône;69087;Fontaines-Saint-Martin;2174;1106;1068;21;1047;49.13;50.87;0.97;48.16
2014_euro_t1;2014;euro;1;69;Rhône;69088;Fontaines-Sur-Saône;4445;2576;1869;40;1829;42.05;57.95;0.9;41.15
2014_euro_t1;2014;euro;1;69;Rhône;69089;Francheville;9243;4681;4562;91;4471;49.36;50.64;0.98;48.37
2014_euro_t1;2014;euro;1;69;Rhône;69090;Frontenas;603;298;305;14;291;50.58;49.42;2.32;48.26
2014_euro_t1;2014;euro;1;69;Rhône;69091;Givors;11008;8061;2947;88;2859;26.77;73.23;0.8;25.97
2014_euro_t1;2014;euro;1;69;Rhône;69092;Gleizé;5465;3301;2164;72;2092;39.6;60.4;1.32;38.28
2014_euro_t1;2014;euro;1;69;Rhône;69093;Grandris;819;495;324;17;307;39.56;60.44;2.08;37.48
2014_euro_t1;2014;euro;1;69;Rhône;69094;Grézieu-La-Varenne;3755;1964;1791;38;1753;47.7;52.3;1.01;46.68
2014_euro_t1;2014;euro;1;69;Rhône;69095;Grézieu-Le-Marché;604;345;259;7;252;42.88;57.12;1.16;41.72
2014_euro_t1;2014;euro;1;69;Rhône;69096;Grigny;5881;3939;1942;66;1876;33.02;66.98;1.12;31.9
2014_euro_t1;2014;euro;1;69;Rhône;69097;Les Haies;604;322;282;12;270;46.69;53.31;1.99;44.7
2014_euro_t1;2014;euro;1;69;Rhône;69098;Les Halles;309;176;133;6;127;43.04;56.96;1.94;41.1
2014_euro_t1;2014;euro;1;69;Rhône;69099;Haute-Rivoire;964;555;409;24;385;42.43;57.57;2.49;39.94
2014_euro_t1;2014;euro;1;69;Rhône;69100;Irigny;6124;3422;2702;85;2617;44.12;55.88;1.39;42.73
2014_euro_t1;2014;euro;1;69;Rhône;69101;Jarnioux;474;218;256;5;251;54.01;45.99;1.05;52.95
2014_euro_t1;2014;euro;1;69;Rhône;69102;Joux;479;273;206;14;192;43.01;56.99;2.92;40.08
2014_euro_t1;2014;euro;1;69;Rhône;69103;Juliénas;695;326;369;24;345;53.09;46.91;3.45;49.64
2014_euro_t1;2014;euro;1;69;Rhône;69104;Jullié;317;147;170;6;164;53.63;46.37;1.89;51.74
2014_euro_t1;2014;euro;1;69;Rhône;69105;Lacenas;726;389;337;10;327;46.42;53.58;1.38;45.04
2014_euro_t1;2014;euro;1;69;Rhône;69106;Lachassagne;741;330;411;6;405;55.47;44.53;0.81;54.66
2014_euro_t1;2014;euro;1;69;Rhône;69107;Lamure-Sur-Azergues;745;429;316;21;295;42.42;57.58;2.82;39.6
