code_commune;actifs_2022;chomeurs_2022;actifs_occupes_2022;inactifs_2022;taux_chomage_2022
69001;220.265899012915;5.96156213354895;214.304336879366;33.697223219178;2.71
69002;105.061320088075;3.13426221210531;101.92705787597;25.713796787792;2.98
69003;1301.17036910176;130.353646786336;1170.81672231542;404.220484390803;10.02
69004;347.823552619808;23.7438073102117;324.079745309596;91.5992010935678;6.83
69005;333.602849512284;14.9682935048148;318.634556007469;66.3472257423387;4.49
69006;2137.87233526537;249.986812444328;1887.88552282104;639.818660269009;11.69
69007;1344.52049291168;67.0575805194989;1277.46291239219;361.354322687921;4.99
69008;334.908649855132;13.9684138906576;320.940235964474;82.9106103666214;4.17
69009;4019.0;330.0;3689.0;1002.0;8.21
69010;3147.0;290.0;2857.0;948.0;9.22
69012;296.98271590888;9.62082658484789;287.361889324032;62.464465962217;3.24
69013;2069.96207361486;151.214643135065;1918.7474304798;561.647705088224;7.31
69014;521.0;17.0;504.0;130.0;3.26
69016;56.0;5.0;51.0;11.0;8.93
69017;363.226524547263;13.0300122668808;350.196512280382;81.2769664494656;3.59
69018;954.142718942555;66.089425833019;888.053293109536;250.129784586352;6.93
69019;6698.08946538159;663.015765316498;6035.07370006509;1759.19674048781;9.9
69020;365.0;18.0;347.0;82.0;4.93
69021;1080.78890535808;71.4166001325075;1009.37230522557;311.944288391764;6.61
69022;276.730646201802;12.524766018411;264.205880183392;62.9934254820341;4.53
69023;806.284830432519;32.5112947901129;773.773535642406;188.55682149003;4.03
69024;1884.51851746436;117.458344402945;1767.06017306142;540.334596021282;6.23
69026;272.0;18.0;254.0;60.0;6.62
69027;5794.65213297244;454.129082028319;5340.52305094412;1535.01847900315;7.84
69028;3332.55755707497;182.342590811604;3150.21496626337;905.207602277036;5.47
69029;19896.1566266708;2477.43376128473;17418.7228653861;7162.29957357035;12.45
69030;416.385543029643;13.8762921882427;402.5092508414;102.487464293849;3.33
69031;743.221221071571;42.198761083747;701.022459987824;135.76876883308;5.68
69032;1069.47228019001;56.0572302593417;1013.41504993067;224.512683671017;5.24
