code_commune;population_2022;population_2016;nb_logements_2022;nb_logements_2016;nb_residences_principales_2022;nb_residences_principales_2016;nb_logements_vacants_2022;nb_logements_vacants_2016;superficie_km2;densite_2022;densite_2016
69057;586;545;275.985192061449;265.277372262772;237.985192061449;226.999999999998;17.0;19.1386861313869;8.82;66.44;61.79
69058;416;401;240.972410365892;231.281502497143;186.565433621706;177.424552429667;27.7167617376042;28.3457631934086;7.32;56.83;54.78
69059;1633;1520;707.016963646577;654.511722112055;648.324325868774;599.971711513221;42.9713955158916;40.4651691539737;5.02;325.3;302.79
69060;557;664;384.662749244422;376.85254691553;258.074627520277;269.99999999864;52.6606586372442;32.2573726541555;28.33;19.66;23.44
69061;1198;1170;584.456400452897;573.847826086959;506.456400452897;470.000000000002;40.5194805194808;65.1594202898551;5.83;205.49;200.69
69062;794;765;341.439910530756;320.225705329154;315.638529611778;296.0;13.416718077869;11.1034482758621;9.03;87.93;84.72
69063;4604;4054;2088.65328812202;1903.41430859584;1893.62850222802;1687.0;165.100347846771;185.789642285104;3.78;1217.99;1072.49
69064;3945;3877;2089.47322228916;1932.54861821906;1795.19092858171;1681.00000000002;253.551180391535;196.995905834186;9.21;428.34;420.96
69065;993;927;443.523941286688;410.776691227202;403.661464197856;368.038064262769;33.2187309073602;32.5185205164167;9.3;106.77;99.68
69066;4329;4519;2743.23318862817;2785.83333333333;2043.39698188645;2102.83333333333;534.114992985283;541.210312075984;33.81;128.04;133.66
69067;1178;1094;600.164856033866;577.508943572086;512.806689604073;462.698774080561;45.3808656778143;77.8157815442561;27.04;43.57;40.46
69068;2541;2559;1158.40456971074;1146.05222816462;1030.51909223661;1043.41443288903;106.024712093932;89.5186785862294;3.11;817.04;822.83
69069;12170;11158;5902.27345203133;5081.9038131377;5558.72342258099;4761.45395758673;293.289528373979;271.234007428807;4.62;2634.2;2415.15
69070;1357;1268;704.0;650.0;595.0;525.0;49.0;58.0;15.56;87.21;81.49
