code_commune;population_2022;population_2016;nb_logements_2022;nb_logements_2016;nb_residences_principales_2022;nb_residences_principales_2016;nb_logements_vacants_2022;nb_logements_vacants_2016;superficie_km2;densite_2022;densite_2016
69250;4460;4061;2080.90654262809;1878.31088743422;1882.40634468512;1737.0068205395;151.032759304431;102.500359405494;8.43;529.06;481.73
69252;723;731;300.931745237467;292.00151297862;286.062524042588;269.785617367707;8.67371236367945;15.5511269276394;7.56;95.63;96.69
69253;650;617;289.106998762726;265.383693045564;257.14637367292;241.0;25.3480819677772;19.8117505995204;8.26;78.69;74.7
69254;994;932;479.128056085967;455.115612716785;397.372660485103;366.306402190469;47.6044075650596;50.6005966952264;18.25;54.47;51.07
69255;6198;5571;2664.13576836432;2398.44467474345;2420.1361704543;2159.11134141012;173.093731850699;166.536111111111;25.02;247.72;222.66
69256;52448;48497;20782.3435870754;18785.039871399;19213.2759531945;17154.8328683961;1424.29401793511;1541.45503542249;20.95;2503.48;2314.89
69257;1153;1087;541.0;500.0;475.0;425.0;34.0;50.0;17.74;64.99;61.27
69258;315;322;200.0;200.0;141.0;133.0;22.0;33.0;19.19;16.41;16.78
69259;66701;65405;30188.1188857192;27403.8771612225;27298.8175710949;25548.9298344822;2523.95856115266;1617.34426052091;15.33;4351.01;4266.47
69260;5175;4872;2150.73775033771;1906.36359801844;2009.26785234226;1795.99604639602;123.184673084476;90.7862118184413;4.03;1284.12;1208.93
69261;117;104;33.5285851075764;32.5494374201528;23.5268307216115;25.1049929757084;2.72775119617225;0.0;5.59;20.93;18.6
69263;908;889;470.147248984791;445.257927301862;382.1722513714;348.35107587769;50.2714272076517;48.9744302896355;14.15;64.17;62.83
69264;36224;37266;19833.3570452504;19141.275260093;17458.858510644;16893.899102496;1991.71878889139;2005.0893238082;9.48;3821.1;3931.01
69265;820;814;391.203636773382;382.953008264575;342.675798112929;327.215880893301;17.646486785619;14.6676650977036;10.11;81.11;80.51
69266;162207;149019;91641.3155325484;82777.7687329061;81234.7210174089;72773.6891112079;7197.91696196286;7421.36184142328;14.52;11171.28;10263.02
69267;2132;2109;1050.28832004562;967.109821380104;881.811869362004;825.999999951533;122.805123691071;90.3508928571429;18.74;113.77;112.54
69268;3353;3375;1474.57566251654;1411.18142223775;1388.90232534233;1323.62341698841;69.3087671521731;73.733057052079;5.6;598.75;602.68
69269;980;1038;517.327381975711;527.298275551614;432.27116172215;427.241092845896;48.2751520358049;53.9634243806121;10.75;91.16;96.56
69270;4519;4212;1934.0;1738.0;1782.0;1632.0;100.0;93.0;18.89;239.23;222.98
69271;11214;10234;4747.43676732576;4132.258698941;4553.7996840188;3965.0;168.720993245554;151.479576399395;11.57;969.23;884.53
69272;4524;4175;1902.80062526888;1699.97611669078;1811.38002234556;1627.84427589476;73.7262926800959;56.4887909848349;10.54;429.22;396.11
69273;11196;11209;4386.35905585958;4201.44138936828;4165.4448184309;4056.8750609891;178.590215376238;128.691691700889;11.88;942.42;943.52
69275;29905;27851;13763.8954842434;12454.8791808098;12827.3563271177;11771.00372654;825.05997383078;606.89389950894;17.01;1758.08;1637.33
69276;9727;9879;4509.92224036612;4011.02890173421;4197.5690674925;3661.00000000011;290.846888839698;307.601156069364;9.64;1009.02;1024.79
69277;13446;12624;5689.4832361346;5200.19144347483;5403.83717202906;4914.39537810323;202.732665425072;205.703733981582;23.84;564.01;529.53
69278;5632;5446;2436.69596933674;2292.55784753364;2293.90096103997;2156.00000000001;122.100079558111;120.005381165919;8.49;663.37;641.46
69279;6109;5838;2495.09010009391;2233.94893809298;2392.89555870107;2148.99999999989;70.1942304516481;67.7568910980569;12.11;504.46;482.08
69280;1594;1467;642.19147535791;517.728323699423;584.205578525669;496.000000000001;32.2143871290227;14.485549132948;7.41;215.11;197.98
69281;1979;1649;830.0;671.0;768.0;637.0;47.0;21.0;12.44;159.08;132.56
69282;36437;32996;15355.3235721482;13503.0363352419;14504.2439193854;12638.9849689103;627.961277497273;671.480280511122;23.01;1583.53;1433.99
69283;13716;13244;5594.54959589705;5117.16086966987;5390.27162684027;4949.7174559355;182.702402862119;159.857631043648;11.57;1185.48;1144.68
69284;3270;3087;1318.11390648557;1172.02938557426;1264.06309472261;1126.99999999991;51.9719343874542;41.8878005342832;7.16;456.7;431.15
69285;4145;4063;1613.63870304946;1547.63850188462;1527.99750398814;1478.41030928169;60.6224218074495;56.8026195716356;13.04;317.87;311.58
69286;31479;29885;13395.9992031574;12338.4953703768;12299.9567945154;11691.5147826439;1016.26559242067;594.978009465985;14.48;2173.96;2063.88
69287;6988;6827;2815.03410154747;2622.27342888646;2676.13057981056;2529.00000000002;119.354137196163;75.2205071664829;16.34;427.66;417.81
69288;5651;5380;2510.41413090415;2220.07083876574;2356.16762239389;2106.99999999999;139.353742171335;100.956106040852;18.63;303.33;288.78
69289;4588;4521;1955.72515086695;1857.13045822101;1844.04911693475;1735.99999999999;85.5176836417784;94.1013477088949;29.28;156.69;154.41
69290;49193;45844;22752.1026267032;19863.0029529454;20626.1003298573;18526.3817326437;1790.59674266604;1237.03134258467;29.71;1655.77;1543.05
69291;6076;5706;2719.23295728649;2515.06186221393;2546.27780421808;2296.13724051969;134.657940603256;198.935851887378;13.37;454.45;426.78
69292;7039;5926;3457.0;2869.0;3254.0;2612.0;174.0;228.0;1.96;3591.33;3023.47
69293;2418;2346;939.815448124757;880.40107891376;897.872306124252;853.453374322942;31.2517528631219;23.2049678420936;5.15;469.51;455.53
69294;3057;2626;1399.70178101806;1148.85259773579;1291.94726831068;1092.95227524972;101.289241944943;51.4282966871885;3.97;770.03;661.46
69295;1886;1769;806.354136727605;709.613050786046;774.173648382375;678.507174392936;28.8514723095164;28.5837783071826;10.45;180.48;169.28
69296;3131;2916;1307.0;1198.0;1230.0;1118.0;70.0;72.0;8.1;386.54;360.0
69297;5582;5437;2356.39342050609;2167.38141019516;2211.93273988842;2047.99999993875;128.067979270985;97.3108974358974;8.06;692.56;674.57
69298;3186;2959;1251.72211408654;1123.55071838525;1190.40558642521;1071.44633425164;54.9103232788003;45.5913361169102;5.02;634.66;589.44
69299;2859;2602;1137.80621001677;1008.33196300102;1072.67054130991;952.999999999993;54.6299156896272;43.0359712230216;27.62;103.51;94.21
69381;29040;29575;19049.2529258061;18164.2781226535;16420.3187899008;15992.9635330574;1670.32749970942;1465.53986543569;1.51;19231.79;19586.09
69382;29880;30435;22226.256757681;19820.744838693;16366.3291353743;16599.1043139922;3240.39642190201;1896.9899416609;3.41;8762.46;8925.22
69383;101523;101992;62380.8637007783;60477.5126347126;53889.8706125314;52377.7277885749;4144.49601157023;4837.75651126162;6.35;15987.87;16061.73
69384;35232;36080;20937.5959357822;20247.5300970658;17983.5559877878;17884.1891483822;2027.19856794156;1692.48924840003;2.93;12024.57;12313.99
69385;48277;48929;26179.4459502201;25255.9113725736;23389.8929383156;23026.5102005369;1889.36034654371;1592.76596340447;6.23;7749.12;7853.77
69386;50718;51416;31955.0427759741;31044.5817785949;26122.5150595643;26754.7606381361;3716.52428990225;2790.02020731015;3.77;13453.05;13638.2
69387;87491;82045;55475.6846794796;50048.9978342219;47285.3813040199;43941.053514269;4616.26668818284;3778.64188760994;9.75;8973.44;8414.87
69388;84956;84517;49497.4030997847;46595.9762872824;43931.1686603375;41877.2096537883;3887.02845909064;3616.30576546096;6.67;12737.03;12671.21
69389;53657;50706;30910.840291931;27633.0847730602;26213.3573618228;23631.111867439;3269.46310415065;2787.80506577156;7.25;7400.97;6993.93
