code_commune;nb_immigres_2022;nb_non_immigres_2022
69001;7;390
69002;4;235
69003;291;2722
69004;47;725
69005;62;567
69006;379;4479
69007;94;2666
69008;13;661
69009;691;7448
69010;744;5725
69012;12;604
69013;303;4105
69014;22;1086
69016;5;117
69017;28;730
69018;102;2001
69019;1487;12280
69020;24;693
69021;86;2265
69022;11;532
69023;51;1641
69024;116;4027
69026;21;507
69027;1006;11324
69028;298;6420
69029;8515;34335
69030;18;805
69031;34;1344
69032;64;2080
69033;90;2861
69034;4405;39074
69035;5;388
69036;37;1098
69037;27;792
69038;20;903
69039;34;669
69040;694;5430
69042;7;559
69043;580;8637
69044;340;4932
69045;28;1241
69046;191;4479
69047;35;996
69049;125;2776
69050;132;2052
69051;24;1191
69052;181;4089
69053;18;516
69054;5;360
69055;61;1443
69056;99;1959
69057;17;569
69058;7;409
69059;78;1555
69060;9;548
69061;17;1181
69062;13;781
69063;316;4288
69064;239;3706
69065;43;950
69066;207;4122
69067;39;1139
69068;246;2295
69069;764;11406
69070;46;1311
69071;65;1121
69072;740;8240
69074;45;1529
69075;13;183
69076;105;2502
69077;37;1141
69078;21;821
69080;61;1879
69081;2101;15918
69082;5;273
69083;87;1082
69084;37;1314
69085;90;1459
69086;88;2211
69087;274;2796
69088;652;6353
69089;1595;14069
69090;40;865
69091;4729;16214
69092;958;6866
69093;40;1172
69094;377;5907
69095;13;818
69096;1255;8686
69097;21;718
69098;15;466
69099;29;1396
69100;777;8132
69102;7;746
69103;25;858
69104;21;475
69105;28;1001
69106;56;1278
69107;52;999
69108;32;1050
69109;30;821
69110;31;1789
69111;23;676
69112;237;6304
69113;18;889
69114;210;3869
69115;469;4280
69116;297;3636
69117;168;3025
69118;131;2605
69119;15;936
69120;8;584
69121;182;3000
69122;81;1987
69123;74892;445882
69124;6;446
69125;38;966
69126;23;856
69127;279;3432
69130;2;224
69131;107;3458
69132;19;836
69133;197;4126
69134;7;236
69135;121;1802
69136;179;3033
69137;17;513
69138;10;437
69139;38;1355
69140;66;2201
69141;217;6044
69142;1146;5408
69143;1068;6739
69145;27;916
69148;87;2546
69149;5556;32372
69151;41;1455
69153;40;1354
69154;119;2847
69155;24;1109
69156;83;2546
69157;183;5100
69160;29;998
69161;8;469
69162;35;1347
69163;209;3411
69164;12;299
69165;33;1126
69166;5;302
69167;11;577
69168;137;1409
69169;15;635
69170;19;1148
69171;207;2361
69172;20;769
69173;11;968
69174;21;600
69175;48;1922
69176;179;4473
69177;56;2042
69178;16;751
69179;144;4054
69180;5;269
69181;6;229
69182;6;366
69183;13;298
69184;22;959
69186;6;199
69187;29;640
69188;29;875
69189;180;1814
69190;88;2021
69191;497;5616
69192;5;151
69193;54;1219
69194;402;7003
69196;17;586
69197;61;2175
69198;19;764
69199;6236;13313
69200;37;1501
69201;47;1245
69202;2296;19597
69203;33;953
69204;2228;19101
69205;391;4979
69206;205;4328
69207;182;2855
69208;69;2183
69209;4;577
69212;6;466
69214;43;1132
69215;27;909
69216;18;587
69217;23;720
69218;42;1009
69219;51;2069
69220;40;1910
69225;9;559
69227;80;3837
69228;98;4176
69229;15;761
69230;6;324
69231;78;2508
69233;70;1171
69234;36;1667
69235;158;1832
69236;37;561
69238;172;3577
69239;23;1124
69240;12;615
69241;83;2574
69242;68;840
69243;1384;9497
69244;2488;20331
69245;15;732
69246;32;1261
69248;385;5409
69249;118;3150
69250;289;4171
69252;25;698
69253;20;630
69254;38;956
69255;207;5991
69256;15547;36901
69257;26;1127
69258;9;306
69259;18915;47786
69260;472;4703
69261;23;94
69263;22;886
69264;6297;29927
69265;27;793
69266;31334;130873
69267;80;2052
69268;165;3188
69269;27;953
69270;196;4323
69271;1103;10111
69272;251;4273
69273;988;10208
69275;5084;24821
69276;1532;8195
69277;685;12761
69278;470;5162
69279;472;5637
69280;108;1486
69281;79;1900
69282;5318;31119
69283;1401;12315
69284;129;3141
69285;338;3807
69286;6766;24713
69287;379;6609
69288;356;5295
69289;222;4366
69290;9524;39669
69291;451;5625
69292;610;6429
69293;98;2320
69294;197;2860
69295;87;1799
69296;175;2956
69297;380;5202
69298;128;3058
69299;220;2639
