code_commune;libelle_commune;annee;total_delits
69276;Feyzin;2017;483.0
69276;Feyzin;2022;565.0
69276;Feyzin;2024;507.0
69277;Genas;2017;421.0
69277;Genas;2022;550.0
69277;Genas;2024;616.0
69278;Genay;2017;145.0
69278;Genay;2022;203.0
69278;Genay;2024;229.0
69279;Jonage;2017;206.0
69279;Jonage;2022;194.0
69279;Jonage;2024;257.0
69280;Jons;2017;9.0
69280;Jons;2022;18.0
69280;Jons;2024;25.0
69281;Marennes;2017;39.0
69281;Marennes;2022;35.0
69281;Marennes;2024;40.0
69282;Meyzieu;2017;1654.0
69282;Meyzieu;2022;1830.0
69282;Meyzieu;2024;1725.0
69283;Mions;2017;559.0
69283;Mions;2022;604.0
69283;Mions;2024;520.0
69284;Montanay;2017;56.0
69284;Montanay;2022;65.0
69284;Montanay;2024;72.0
69285;Pusignan;2017;137.0
69285;Pusignan;2022;129.0
69285;Pusignan;2024;292.0
69286;Rillieux-la-Pape;2017;1424.0
69286;Rillieux-la-Pape;2022;1573.0
69286;Rillieux-la-Pape;2024;1665.0
69287;Saint-Bonnet-de-Mure;2017;258.0
69287;Saint-Bonnet-de-Mure;2022;268.0
69287;Saint-Bonnet-de-Mure;2024;281.0
69288;Saint-Laurent-de-Mure;2017;254.0
69288;Saint-Laurent-de-Mure;2022;228.0
69288;Saint-Laurent-de-Mure;2024;281.0
69289;Saint-Pierre-de-Chandieu;2017;135.0
69289;Saint-Pierre-de-Chandieu;2022;145.0
69289;Saint-Pierre-de-Chandieu;2024;140.0
69290;Saint-Priest;2017;2840.0
69290;Saint-Priest;2022;2635.0
69290;Saint-Priest;2024;2800.0
69291;Saint-Symphorien-d'Ozon;2017;174.0
69291;Saint-Symphorien-d'Ozon;2022;197.0
69291;Saint-Symphorien-d'Ozon;2024;223.0
69292;Sathonay-Camp;2017;163.0
69292;Sathonay-Camp;2022;251.0
69292;Sathonay-Camp;2024;265.0
69293;Sathonay-Village;2017;45.0
69293;Sathonay-Village;2022;42.0
69293;Sathonay-Village;2024;42.0
69294;Sérézin-du-Rhône;2017;74.0
69294;Sérézin-du-Rhône;2022;98.0
69294;Sérézin-du-Rhône;2024;102.0
69295;Simandres;2017;21.0
69295;Simandres;2022;22.0
69295;Simandres;2024;43.0
69296;Solaize;2017;177.0
69296;Solaize;2022;163.0
69296;Solaize;2024;174.0
69297;Ternay;2017;207.0
69297;Ternay;2022;170.0
69297;Ternay;2024;178.0
69298;Toussieu;2017;59.0
69298;Toussieu;2022;48.0
69298;Toussieu;2024;65.0
69299;Colombier-Saugnieu;2017;579.0
69299;Colombier-Saugnieu;2022;531.0
69299;Colombier-Saugnieu;2024;683.0
69381;Lyon 1er Arrondissement;2017;4168.0
69381;Lyon 1er Arrondissement;2022;4784.0
69381;Lyon 1er Arrondissement;2024;3483.0
69382;Lyon 2e Arrondissement;2017;6960.0
69382;Lyon 2e Arrondissement;2022;8391.0
69382;Lyon 2e Arrondissement;2024;7445.0
69383;Lyon 3e Arrondissement;2017;12254.0
69383;Lyon 3e Arrondissement;2022;12945.0
69383;Lyon 3e Arrondissement;2024;11696.0
69384;Lyon 4e Arrondissement;2017;2127.0
69384;Lyon 4e Arrondissement;2022;2011.0
69384;Lyon 4e Arrondissement;2024;1705.0
69385;Lyon 5e Arrondissement;2017;2939.0
69385;Lyon 5e Arrondissement;2022;3602.0
69385;Lyon 5e Arrondissement;2024;3091.0
69386;Lyon 6e Arrondissement;2017;4656.0
69386;Lyon 6e Arrondissement;2022;5071.0
69386;Lyon 6e Arrondissement;2024;4808.0
69387;Lyon 7e Arrondissement;2017;11006.0
69387;Lyon 7e Arrondissement;2022;11689.0
69387;Lyon 7e Arrondissement;2024;11367.0
69388;Lyon 8e Arrondissement;2017;6729.0
69388;Lyon 8e Arrondissement;2022;7119.0
69388;Lyon 8e Arrondissement;2024;6257.0
69389;Lyon 9e Arrondissement;2017;3817.0
69389;Lyon 9e Arrondissement;2022;3568.0
69389;Lyon 9e Arrondissement;2024;3593.0
