code_commune;libelle_commune;annee;total_delits
69066;Cours;2024;158.0
69067;Courzieu;2017;0.0
69067;Courzieu;2022;9.0
69067;Courzieu;2024;15.0
69068;Couzon-au-Mont-d'Or;2017;83.0
69068;Couzon-au-Mont-d'Or;2022;53.0
69068;Couzon-au-Mont-d'Or;2024;72.0
69069;Craponne;2017;384.0
69069;Craponne;2022;417.0
69069;Craponne;2024;446.0
69070;Cublize;2017;17.0
69070;Cublize;2022;7.0
69070;Cublize;2024;9.0
69071;Curis-au-Mont-d'Or;2017;0.0
69071;Curis-au-Mont-d'Or;2022;5.0
69071;Curis-au-Mont-d'Or;2024;0.0
69072;Dardilly;2017;585.0
69072;Dardilly;2022;561.0
69072;Dardilly;2024;591.0
69074;Denicé;2017;0.0
69074;Denicé;2022;15.0
69074;Denicé;2024;14.0
69075;Dième;2017;0.0
69075;Dième;2022;0.0
69075;Dième;2024;0.0
69076;Dommartin;2017;47.0
69076;Dommartin;2022;41.0
69076;Dommartin;2024;43.0
69077;Dracé;2017;41.0
69077;Dracé;2022;43.0
69077;Dracé;2024;77.0
69078;Duerne;2017;0.0
69078;Duerne;2022;0.0
69078;Duerne;2024;0.0
69080;Échalas;2017;8.0
69080;Échalas;2022;15.0
69080;Échalas;2024;8.0
69081;Écully;2017;819.0
69081;Écully;2022;732.0
69081;Écully;2024;882.0
69082;Émeringes;2017;0.0
69082;Émeringes;2022;0.0
69082;Émeringes;2024;0.0
69083;Éveux;2017;0.0
69083;Éveux;2022;0.0
69083;Éveux;2024;0.0
69084;Fleurie;2017;0.0
69084;Fleurie;2022;0.0
69084;Fleurie;2024;5.0
69085;Fleurieu-sur-Saône;2017;17.0
69085;Fleurieu-sur-Saône;2022;31.0
69085;Fleurieu-sur-Saône;2024;28.0
69086;Fleurieux-sur-l'Arbresle;2017;33.0
69086;Fleurieux-sur-l'Arbresle;2022;46.0
69086;Fleurieux-sur-l'Arbresle;2024;31.0
69087;Fontaines-Saint-Martin;2017;53.0
69087;Fontaines-Saint-Martin;2022;74.0
69087;Fontaines-Saint-Martin;2024;65.0
69088;Fontaines-sur-Saône;2017;262.0
69088;Fontaines-sur-Saône;2022;351.0
69088;Fontaines-sur-Saône;2024;286.0
