code_commune;revenu_median_2021;d1_revenu_2021;d9_revenu_2021;ratio_interdecile_2021;part_chomeurs_2021;part_foyers_imposes_2021;nb_menages_2021;nb_personnes_menages_2021
69085;31110.0;15500.0;45225.0;3.05;2.6;-18.35;567.0;1462.0
69086;29780.0;19120.0;47350.0;2.5;2.0;-20.1;977.0;2485.0
69087;34190.0;17820.0;62230.0;3.5;2.1;-23.3;1125.0;2870.0
69088;25230.0;13480.0;45270.0;3.4;2.8;-18.8;3255.0;7239.0
69089;28120.0;14950.0;50090.0;3.4;2.6;-20.4;6046.0;14457.0
69090;27540.0;15500.0;45225.0;3.05;2.6;-18.35;336.0;887.0
69091;18160.0;9800.0;30280.0;3.1;4.1;-11.4;8021.0;19748.0
69092;23660.0;12520.0;41720.0;3.3;2.6;-16.6;3131.0;7494.0
69093;21580.0;15500.0;45225.0;3.05;2.6;-18.35;514.0;1114.0
69094;27230.0;15510.0;45930.0;3.0;2.3;-18.1;2653.0;6513.0
69095;22700.0;15500.0;45225.0;3.05;2.6;-18.35;322.0;806.0
69096;21900.0;12090.0;34460.0;2.9;3.4;-13.5;3896.0;9463.0
69097;25590.0;15500.0;45225.0;3.05;2.6;-18.35;292.0;733.0
69098;22970.0;15500.0;45225.0;3.05;2.6;-18.35;189.0;460.0
69099;22560.0;15500.0;45225.0;3.05;2.6;-18.35;563.0;1336.0
69100;25740.0;13220.0;43910.0;3.3;2.7;-17.1;3605.0;9051.0
69102;23230.0;15500.0;45225.0;3.05;2.6;-18.35;291.0;717.0
69103;23260.0;15500.0;45225.0;3.05;2.6;-18.35;387.0;829.0
69104;22170.0;15500.0;45225.0;3.05;2.6;-18.35;206.0;454.0
69105;27670.0;15500.0;45225.0;3.05;2.6;-18.35;430.0;1105.0
69106;32050.0;15500.0;45225.0;3.05;2.6;-18.35;475.0;1295.0
69107;23260.0;15500.0;45225.0;3.05;2.6;-18.35;443.0;977.0
69108;24230.0;15500.0;45225.0;3.05;2.6;-18.35;436.0;1102.0
69109;24990.0;15500.0;45225.0;3.05;2.6;-18.35;360.0;855.0
69110;22970.0;15500.0;45225.0;3.05;2.6;-18.35;733.0;1717.0
69111;26900.0;15500.0;45225.0;3.05;2.6;-18.35;258.0;663.0
69112;29630.0;16650.0;51750.0;3.1;2.8;-20.3;2742.0;6814.0
69113;24730.0;15500.0;45225.0;3.05;2.6;-18.35;329.0;825.0
69115;24720.0;13060.0;43830.0;3.4;2.7;-17.7;1914.0;4785.0
69116;34510.0;15630.0;75210.0;4.8;2.2;-26.2;1454.0;3643.0
69117;33180.0;18000.0;61530.0;3.4;2.2;-22.3;1229.0;3274.0
69118;24520.0;15400.0;37580.0;2.4;2.1;-14.9;1104.0;2712.0
69119;23880.0;15500.0;45225.0;3.05;2.6;-18.35;364.0;916.0
69120;23030.0;15500.0;45225.0;3.05;2.6;-18.35;231.0;580.0
69121;26930.0;15750.0;43870.0;2.8;2.6;-17.1;1329.0;3057.0
69122;28690.0;17610.0;50050.0;2.8;3.5;-21.3;802.0;2021.0
69123;25430.0;11720.0;49320.0;4.2;3.4;-20.7;230041.0;451689.0
69124;21820.0;15500.0;45225.0;3.05;2.6;-18.35;208.0;442.0
69125;30530.0;15500.0;45225.0;3.05;2.6;-18.35;397.0;983.0
69126;30160.0;15500.0;45225.0;3.05;2.6;-18.35;322.0;828.0
69127;29680.0;15630.0;50490.0;3.2;3.0;-19.8;1340.0;3417.0
69130;24390.0;15500.0;45225.0;3.05;2.6;-18.35;84.0;193.0
69131;27280.0;16900.0;43350.0;2.6;2.2;-17.7;1435.0;3562.0
69132;22000.0;15500.0;45225.0;3.05;2.6;-18.35;310.0;789.0
69133;30670.0;17780.0;55520.0;3.1;2.2;-23.7;1778.0;4378.0
69134;30920.0;15500.0;45225.0;3.05;2.6;-18.35;93.0;230.0
69135;21080.0;15500.0;45225.0;3.05;2.6;-18.35;798.0;1746.0
69136;27760.0;16830.0;46600.0;2.8;2.0;-18.4;1268.0;3344.0
69137;27240.0;15500.0;45225.0;3.05;2.6;-18.35;169.0;434.0
69138;22850.0;15500.0;45225.0;3.05;2.6;-18.35;175.0;443.0
69139;23730.0;15500.0;45225.0;3.05;2.6;-18.35;610.0;1408.0
69140;29600.0;17510.0;52660.0;3.0;2.2;-20.6;880.0;2262.0
69141;27260.0;16290.0;44720.0;2.7;2.3;-17.9;2632.0;6165.0
69142;22750.0;11060.0;40960.0;3.7;3.4;-19.4;3073.0;6239.0
69143;23150.0;12150.0;40090.0;3.3;3.2;-16.0;3626.0;7416.0
