code_commune;revenu_median_2017;taux_pauvrete_2017;part_chomeurs_2017;part_foyers_imposes_2017;d1_revenu_2017;d9_revenu_2017;ratio_interdecile_2017
69099;20200.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69100;23610.0;11.0;2.8;62.0;12140.0;40220.0;3.3
69102;20560.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69103;22180.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69104;20190.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69105;25170.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69106;29920.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69107;20880.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69108;22350.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69109;22080.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69110;21270.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69111;26280.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69112;27310.0;5.0;3.0;70.0;16010.0;48280.0;3.0
69113;21860.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69115;23590.0;11.0;2.7;59.0;12310.0;40150.0;3.3
69116;29990.0;9.45;2.6;72.0;15340.0;64430.0;4.2
69117;30890.0;9.45;2.2;76.0;17280.0;55440.0;3.2
69118;22990.0;9.45;2.6;57.0;14050.0;35950.0;2.6
69119;22260.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69120;19680.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69121;25160.0;9.45;2.2;66.0;14650.0;40220.0;2.7
69122;26390.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69123;23250.0;15.0;3.4;60.0;11090.0;45810.0;4.1
69124;21010.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69125;28640.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69126;28290.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69127;28090.0;9.45;3.0;73.0;15630.0;46580.0;3.0
69130;20010.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69131;24680.0;9.45;2.1;66.0;15190.0;41160.0;2.7
69132;20630.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69133;28300.0;9.45;2.7;73.0;15920.0;50630.0;3.2
69134;28000.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69135;19250.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69136;25810.0;9.45;2.6;68.0;15220.0;41800.0;2.7
69137;23740.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69138;21240.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69139;21130.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69140;27570.0;9.45;2.3;71.0;16250.0;49370.0;3.0
69141;24600.0;6.0;2.2;65.0;14960.0;41060.0;2.7
69142;20820.0;18.0;3.3;56.0;10630.0;38160.0;3.6
69143;21250.0;13.0;3.5;54.0;11700.0;37150.0;3.2
69145;21990.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69148;27050.0;9.45;2.2;71.0;15930.0;45600.0;2.9
69149;21630.0;13.0;3.2;57.0;11590.0;35940.0;3.1
69151;22700.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69152;19480.0;19.0;3.7;49.0;10360.0;31940.0;3.1
69153;33170.0;9.45;2.7;65.0;14235.0;41635.0;3.0
69154;25980.0;9.45;3.3;73.0;15720.0;45450.0;2.9
