id_election;annee;type_election;tour;code_commune;libelle_commune;nom;nuance;parti_politique;famille_politique;voix;ratio_voix_inscrits;ratio_voix_exprimes
2022_legi_t1;2022;legi;1;69001;Affoux;BRAUD;DVG;Divers gauche;Gauche;2;0.63;1.38
2022_legi_t1;2022;legi;1;69001;Affoux;BULIN;NUP;NUPES;Gauche radicale;15;4.72;10.34
2022_legi_t1;2022;legi;1;69001;Affoux;DE PENFENTENYO DE KERVÉRÉGUIN;REC;Reconquete;Extreme droite;7;2.2;4.83
2022_legi_t1;2022;legi;1;69001;Affoux;DESPRAS;ENS;Ensemble (Renaissance / LREM);Centre;22;6.92;15.17
2022_legi_t1;2022;legi;1;69001;Affoux;DUBOIS;RN;Rassemblement National;Extreme droite;38;11.95;26.21
2022_legi_t1;2022;legi;1;69001;Affoux;GAUDE;ECO;Europe Ecologie Les Verts;Ecologie;4;1.26;2.76
2022_legi_t1;2022;legi;1;69001;Affoux;LAWO;ECO;Europe Ecologie Les Verts;Ecologie;3;0.94;2.07
2022_legi_t1;2022;legi;1;69001;Affoux;NOVE JOSSERAND;DSV;Divers centre;Centre;1;0.31;0.69
2022_legi_t1;2022;legi;1;69001;Affoux;PELERINS;ECO;Europe Ecologie Les Verts;Ecologie;2;0.63;1.38
2022_legi_t1;2022;legi;1;69001;Affoux;SERRE;LR;Les Republicains;Droite;51;16.04;35.17
2022_legi_t1;2022;legi;1;69001;Affoux;TEYSSIER;DXG;Divers extreme gauche;Extreme gauche;0;0.0;0.0
2022_legi_t1;2022;legi;1;69002;Aigueperse;BAÏDA;DIV;Divers;Divers;0;0.0;0.0
2022_legi_t1;2022;legi;1;69002;Aigueperse;BERTHOUX;RN;Rassemblement National;Extreme droite;22;10.14;21.78
2022_legi_t1;2022;legi;1;69002;Aigueperse;CHAVANNE;REG;Regionaliste;Divers;2;0.92;1.98
2022_legi_t1;2022;legi;1;69002;Aigueperse;DE GUERNON;REC;Reconquete;Extreme droite;1;0.46;0.99
2022_legi_t1;2022;legi;1;69002;Aigueperse;DUNE;NUP;NUPES;Gauche radicale;6;2.76;5.94
2022_legi_t1;2022;legi;1;69002;Aigueperse;GIRERD;DSV;Divers centre;Centre;0;0.0;0.0
2022_legi_t1;2022;legi;1;69002;Aigueperse;HELLY;DXG;Divers extreme gauche;Extreme gauche;2;0.92;1.98
2022_legi_t1;2022;legi;1;69002;Aigueperse;MÉJEAN;ENS;Ensemble (Renaissance / LREM);Centre;7;3.23;6.93
2022_legi_t1;2022;legi;1;69002;Aigueperse;PERRICHON;ECO;Europe Ecologie Les Verts;Ecologie;0;0.0;0.0
2022_legi_t1;2022;legi;1;69002;Aigueperse;PORTIER;LR;Les Republicains;Droite;61;28.11;60.4
2022_legi_t1;2022;legi;1;69003;Albigny-Sur-Saône;BOUARD;ECO;Europe Ecologie Les Verts;Ecologie;20;1.06;2.21
2022_legi_t1;2022;legi;1;69003;Albigny-Sur-Saône;BROCARD;ENS;Ensemble (Renaissance / LREM);Centre;288;15.32;31.86
2022_legi_t1;2022;legi;1;69003;Albigny-Sur-Saône;DUIGOU;RN;Rassemblement National;Extreme droite;154;8.19;17.04
2022_legi_t1;2022;legi;1;69003;Albigny-Sur-Saône;JOINT;LR;Les Republicains;Droite;117;6.22;12.94
2022_legi_t1;2022;legi;1;69003;Albigny-Sur-Saône;KABIL;DIV;Divers;Divers;17;0.9;1.88
2022_legi_t1;2022;legi;1;69003;Albigny-Sur-Saône;LE BEL;REC;Reconquete;Extreme droite;48;2.55;5.31
2022_legi_t1;2022;legi;1;69003;Albigny-Sur-Saône;MATTEUCCI;NUP;NUPES;Gauche radicale;249;13.24;27.54
2022_legi_t1;2022;legi;1;69003;Albigny-Sur-Saône;RIVIÈRE;DXG;Divers extreme gauche;Extreme gauche;2;0.11;0.22
2022_legi_t1;2022;legi;1;69003;Albigny-Sur-Saône;SLIMANI;DIV;Divers;Divers;9;0.48;1.0
2022_legi_t1;2022;legi;1;69004;Alix;BAÏDA;DIV;Divers;Divers;0;0.0;0.0
2022_legi_t1;2022;legi;1;69004;Alix;BERTHOUX;RN;Rassemblement National;Extreme droite;63;13.07;24.71
2022_legi_t1;2022;legi;1;69004;Alix;CHAVANNE;REG;Regionaliste;Divers;5;1.04;1.96
2022_legi_t1;2022;legi;1;69004;Alix;DE GUERNON;REC;Reconquete;Extreme droite;9;1.87;3.53
2022_legi_t1;2022;legi;1;69004;Alix;DUNE;NUP;NUPES;Gauche radicale;45;9.34;17.65
2022_legi_t1;2022;legi;1;69004;Alix;GIRERD;DSV;Divers centre;Centre;2;0.41;0.78
2022_legi_t1;2022;legi;1;69004;Alix;HELLY;DXG;Divers extreme gauche;Extreme gauche;2;0.41;0.78
2022_legi_t1;2022;legi;1;69004;Alix;MÉJEAN;ENS;Ensemble (Renaissance / LREM);Centre;61;12.66;23.92
2022_legi_t1;2022;legi;1;69004;Alix;PERRICHON;ECO;Europe Ecologie Les Verts;Ecologie;14;2.9;5.49
2022_legi_t1;2022;legi;1;69004;Alix;PORTIER;LR;Les Republicains;Droite;54;11.2;21.18
2022_legi_t1;2022;legi;1;69005;Ambérieux;BAÏDA;DIV;Divers;Divers;1;0.25;0.54
2022_legi_t1;2022;legi;1;69005;Ambérieux;BERTHOUX;RN;Rassemblement National;Extreme droite;41;10.05;22.28
