id_election;annee;type_election;tour;code_commune;libelle_commune;nom;nuance;parti_politique;famille_politique;voix;ratio_voix_inscrits;ratio_voix_exprimes
2017_legi_t1;2017;legi;1;69001;Affoux;BISSAY;COM;Parti Communiste Francais;Gauche radicale;1;0.39;0.68
2017_legi_t1;2017;legi;1;69001;Affoux;BOTTON;DIV;Divers;Divers;0;0.0;0.0
2017_legi_t1;2017;legi;1;69001;Affoux;CAPPEAU;DLF;Debout la France;Droite souverainiste;0;0.0;0.0
2017_legi_t1;2017;legi;1;69001;Affoux;DE MARCHI;FI;La France Insoumise;Gauche radicale;12;4.67;8.16
2017_legi_t1;2017;legi;1;69001;Affoux;HOMINAL;ECO;Europe Ecologie Les Verts;Ecologie;3;1.17;2.04
2017_legi_t1;2017;legi;1;69001;Affoux;HOUOT;DIV;Divers;Divers;2;0.78;1.36
2017_legi_t1;2017;legi;1;69001;Affoux;LEBRETON;DVD;Divers droite;Droite;0;0.0;0.0
2017_legi_t1;2017;legi;1;69001;Affoux;MADI;DIV;Divers;Divers;0;0.0;0.0
2017_legi_t1;2017;legi;1;69001;Affoux;PASSARO;ECO;Europe Ecologie Les Verts;Ecologie;2;0.78;1.36
2017_legi_t1;2017;legi;1;69001;Affoux;TERRAIL;FN;Rassemblement National;Extreme droite;25;9.73;17.01
2017_legi_t1;2017;legi;1;69001;Affoux;TERROIR;REM;La Republique En Marche;Centre;26;10.12;17.69
2017_legi_t1;2017;legi;1;69001;Affoux;TEYSSIER;EXG;Extreme gauche;Extreme gauche;3;1.17;2.04
2017_legi_t1;2017;legi;1;69001;Affoux;TIXIER;DVD;Divers droite;Droite;1;0.39;0.68
2017_legi_t1;2017;legi;1;69001;Affoux;VERCHÈRE;LR;Les Republicains;Droite;72;28.02;48.98
2017_legi_t1;2017;legi;1;69001;Affoux;VOYANT;EXD;Extreme droite;Extreme droite;0;0.0;0.0
2017_legi_t1;2017;legi;1;69002;Aigueperse;ALLOMBERT;COM;Parti Communiste Francais;Gauche radicale;0;0.0;0.0
2017_legi_t1;2017;legi;1;69002;Aigueperse;BOUDOT;FN;Rassemblement National;Extreme droite;8;3.56;7.62
2017_legi_t1;2017;legi;1;69002;Aigueperse;BUISSON;RDG;Rassemblement de la gauche;Gauche;3;1.33;2.86
2017_legi_t1;2017;legi;1;69002;Aigueperse;CACI;FI;La France Insoumise;Gauche radicale;3;1.33;2.86
2017_legi_t1;2017;legi;1;69002;Aigueperse;CROIZEAU;REM;La Republique En Marche;Centre;28;12.44;26.67
2017_legi_t1;2017;legi;1;69002;Aigueperse;DHIMOÏLA;DLF;Debout la France;Droite souverainiste;0;0.0;0.0
2017_legi_t1;2017;legi;1;69002;Aigueperse;DUREAU;DIV;Divers;Divers;1;0.44;0.95
2017_legi_t1;2017;legi;1;69002;Aigueperse;EALET;ECO;Europe Ecologie Les Verts;Ecologie;0;0.0;0.0
2017_legi_t1;2017;legi;1;69002;Aigueperse;FARAH;DIV;Divers;Divers;0;0.0;0.0
2017_legi_t1;2017;legi;1;69002;Aigueperse;HELLY;EXG;Extreme gauche;Extreme gauche;1;0.44;0.95
2017_legi_t1;2017;legi;1;69002;Aigueperse;MICHAUDON;ECO;Europe Ecologie Les Verts;Ecologie;0;0.0;0.0
2017_legi_t1;2017;legi;1;69002;Aigueperse;PERRUT;LR;Les Republicains;Droite;60;26.67;57.14
2017_legi_t1;2017;legi;1;69002;Aigueperse;RADIX;DVD;Divers droite;Droite;1;0.44;0.95
2017_legi_t1;2017;legi;1;69003;Albigny-Sur-Saône;BERNARDI;FI;La France Insoumise;Gauche radicale;62;3.72;7.62
2017_legi_t1;2017;legi;1;69003;Albigny-Sur-Saône;BROCA;DIV;Divers;Divers;9;0.54;1.11
2017_legi_t1;2017;legi;1;69003;Albigny-Sur-Saône;BROCARD;REM;La Republique En Marche;Centre;367;22.04;45.09
2017_legi_t1;2017;legi;1;69003;Albigny-Sur-Saône;BÈNE;FN;Rassemblement National;Extreme droite;98;5.89;12.04
2017_legi_t1;2017;legi;1;69003;Albigny-Sur-Saône;CAPPEAU;DLF;Debout la France;Droite souverainiste;6;0.36;0.74
2017_legi_t1;2017;legi;1;69003;Albigny-Sur-Saône;CHAUDY;DVD;Divers droite;Droite;2;0.12;0.25
2017_legi_t1;2017;legi;1;69003;Albigny-Sur-Saône;CHIAVAZZA;COM;Parti Communiste Francais;Gauche radicale;10;0.6;1.23
2017_legi_t1;2017;legi;1;69003;Albigny-Sur-Saône;COCHET;LR;Les Republicains;Droite;181;10.87;22.24
2017_legi_t1;2017;legi;1;69003;Albigny-Sur-Saône;DESANGLES;DIV;Divers;Divers;4;0.24;0.49
2017_legi_t1;2017;legi;1;69003;Albigny-Sur-Saône;HEMAIN;DIV;Divers;Divers;8;0.48;0.98
2017_legi_t1;2017;legi;1;69003;Albigny-Sur-Saône;JOUAN;DIV;Divers;Divers;0;0.0;0.0
2017_legi_t1;2017;legi;1;69003;Albigny-Sur-Saône;PRADA;EXG;Extreme gauche;Extreme gauche;4;0.24;0.49
2017_legi_t1;2017;legi;1;69003;Albigny-Sur-Saône;TROTIGNON;ECO;Europe Ecologie Les Verts;Ecologie;63;3.78;7.74
2017_legi_t1;2017;legi;1;69004;Alix;ALLOMBERT;COM;Parti Communiste Francais;Gauche radicale;4;0.88;1.69
2017_legi_t1;2017;legi;1;69004;Alix;BOUDOT;FN;Rassemblement National;Extreme droite;39;8.59;16.53
2017_legi_t1;2017;legi;1;69004;Alix;BUISSON;RDG;Rassemblement de la gauche;Gauche;12;2.64;5.08
2017_legi_t1;2017;legi;1;69004;Alix;CACI;FI;La France Insoumise;Gauche radicale;20;4.41;8.47
2017_legi_t1;2017;legi;1;69004;Alix;CROIZEAU;REM;La Republique En Marche;Centre;83;18.28;35.17
2017_legi_t1;2017;legi;1;69004;Alix;DHIMOÏLA;DLF;Debout la France;Droite souverainiste;4;0.88;1.69
2017_legi_t1;2017;legi;1;69004;Alix;DUREAU;DIV;Divers;Divers;0;0.0;0.0
2017_legi_t1;2017;legi;1;69004;Alix;EALET;ECO;Europe Ecologie Les Verts;Ecologie;11;2.42;4.66
2017_legi_t1;2017;legi;1;69004;Alix;FARAH;DIV;Divers;Divers;0;0.0;0.0
2017_legi_t1;2017;legi;1;69004;Alix;HELLY;EXG;Extreme gauche;Extreme gauche;1;0.22;0.42
2017_legi_t1;2017;legi;1;69004;Alix;MICHAUDON;ECO;Europe Ecologie Les Verts;Ecologie;4;0.88;1.69
2017_legi_t1;2017;legi;1;69004;Alix;PERRUT;LR;Les Republicains;Droite;58;12.78;24.58
2017_legi_t1;2017;legi;1;69004;Alix;RADIX;DVD;Divers droite;Droite;0;0.0;0.0
2017_legi_t1;2017;legi;1;69005;Ambérieux;ALLOMBERT;COM;Parti Communiste Francais;Gauche radicale;1;0.24;0.53
2017_legi_t1;2017;legi;1;69005;Ambérieux;BOUDOT;FN;Rassemblement National;Extreme droite;58;13.84;30.53
2017_legi_t1;2017;legi;1;69005;Ambérieux;BUISSON;RDG;Rassemblement de la gauche;Gauche;1;0.24;0.53
2017_legi_t1;2017;legi;1;69005;Ambérieux;CACI;FI;La France Insoumise;Gauche radicale;7;1.67;3.68
2017_legi_t1;2017;legi;1;69005;Ambérieux;CROIZEAU;REM;La Republique En Marche;Centre;59;14.08;31.05
2017_legi_t1;2017;legi;1;69005;Ambérieux;DHIMOÏLA;DLF;Debout la France;Droite souverainiste;3;0.72;1.58
