id_election;annee;type_election;tour;code_commune;libelle_commune;nom;nuance;parti_politique;famille_politique;voix;ratio_voix_inscrits;ratio_voix_exprimes
2019_euro_t1;2019;euro;1;69002;Aigueperse;ENSEMBLE POUR LE FREXIT;LDLF;Souverainiste;Droite souverainiste;2;0.89;1.87
2019_euro_t1;2019;euro;1;69002;Aigueperse;ENVIE D'EUROPE;LSOC;Parti Socialiste;Gauche;4;1.79;3.74
2019_euro_t1;2019;euro;1;69002;Aigueperse;ESPERANTO;LDIV;Divers;Divers;0;0.0;0.0
2019_euro_t1;2019;euro;1;69002;Aigueperse;EUROPE AU SERVICE PEUPLES;LFG;Front de Gauche / NUPES;Gauche radicale;0;0.0;0.0
2019_euro_t1;2019;euro;1;69002;Aigueperse;EUROPE ÉCOLOGIE;LECO;Europe Ecologie Les Verts;Ecologie;6;2.68;5.61
2019_euro_t1;2019;euro;1;69002;Aigueperse;INITIATIVE CITOYENNE;LDVG;Divers gauche;Gauche;0;0.0;0.0
2019_euro_t1;2019;euro;1;69002;Aigueperse;LA FRANCE INSOUMISE;LFI;La France Insoumise;Gauche radicale;3;1.34;2.8
2019_euro_t1;2019;euro;1;69002;Aigueperse;LA LIGNE CLAIRE;LEXD;Extreme droite;Extreme droite;0;0.0;0.0
2019_euro_t1;2019;euro;1;69002;Aigueperse;LES EUROPÉENS;LENS;Ensemble (Renaissance / LREM);Centre;6;2.68;5.61
2019_euro_t1;2019;euro;1;69002;Aigueperse;LES OUBLIES DE L'EUROPE;LDIV;Divers;Divers;0;0.0;0.0
2019_euro_t1;2019;euro;1;69002;Aigueperse;LISTE CITOYENNE;LDVG;Divers gauche;Gauche;0;0.0;0.0
2019_euro_t1;2019;euro;1;69002;Aigueperse;LISTE DE LA RECONQUÊTE;LREC;Reconquete;Extreme droite;0;0.0;0.0
2019_euro_t1;2019;euro;1;69002;Aigueperse;LUTTE OUVRIÈRE;LEXG;Lutte Ouvriere;Extreme gauche;1;0.45;0.93
2019_euro_t1;2019;euro;1;69002;Aigueperse;NEUTRE ET ACTIF;LDIV;Divers;Divers;0;0.0;0.0
2019_euro_t1;2019;euro;1;69002;Aigueperse;PACE;LDIV;Divers;Divers;0;0.0;0.0
2019_euro_t1;2019;euro;1;69002;Aigueperse;PARTI ANIMALISTE;LECO;Parti Animaliste;Ecologie;1;0.45;0.93
2019_euro_t1;2019;euro;1;69002;Aigueperse;PARTI FED. EUROPÉEN;LDIV;Divers;Divers;0;0.0;0.0
2019_euro_t1;2019;euro;1;69002;Aigueperse;PARTI PIRATE;LDIV;Divers;Divers;0;0.0;0.0
2019_euro_t1;2019;euro;1;69002;Aigueperse;POUR L'EUROPE DES GENS;LFG;Front de Gauche / NUPES;Gauche radicale;4;1.79;3.74
2019_euro_t1;2019;euro;1;69002;Aigueperse;PRENEZ LE POUVOIR;LDVG;Divers gauche;Gauche;26;11.61;24.3
2019_euro_t1;2019;euro;1;69002;Aigueperse;RENAISSANCE;LENS;Ensemble (Renaissance / LREM);Centre;18;8.04;16.82
2019_euro_t1;2019;euro;1;69002;Aigueperse;RÉVOLUTIONNAIRE;LEXG;Extreme gauche;Extreme gauche;0;0.0;0.0
2019_euro_t1;2019;euro;1;69002;Aigueperse;UDLEF;LDVD;Divers droite;Droite;0;0.0;0.0
2019_euro_t1;2019;euro;1;69002;Aigueperse;UNE FRANCE ROYALE;LEXD;Extreme droite;Extreme droite;0;0.0;0.0
2019_euro_t1;2019;euro;1;69002;Aigueperse;UNION DROITE-CENTRE;LDVD;Divers droite;Droite;23;10.27;21.5
2019_euro_t1;2019;euro;1;69002;Aigueperse;URGENCE ÉCOLOGIE;LECO;Europe Ecologie Les Verts;Ecologie;0;0.0;0.0
2019_euro_t1;2019;euro;1;69002;Aigueperse;À VOIX ÉGALES;LDVG;Divers gauche;Gauche;0;0.0;0.0
2019_euro_t1;2019;euro;1;69002;Aigueperse;ÉVOLUTION CITOYENNE;LDIV;Divers;Divers;0;0.0;0.0
2019_euro_t1;2019;euro;1;69003;Albigny-Sur-Saône;ALLIANCE JAUNE;LDIV;Gilets Jaunes;Divers;2;0.12;0.23
2019_euro_t1;2019;euro;1;69003;Albigny-Sur-Saône;ALLONS ENFANTS;LDIV;Divers;Divers;0;0.0;0.0
2019_euro_t1;2019;euro;1;69003;Albigny-Sur-Saône;DEBOUT LA FRANCE;LDLF;Debout la France;Droite souverainiste;24;1.42;2.72
2019_euro_t1;2019;euro;1;69003;Albigny-Sur-Saône;DÉCROISSANCE 2019;LECO;Decroissance;Ecologie;0;0.0;0.0
2019_euro_t1;2019;euro;1;69003;Albigny-Sur-Saône;DÉMOCRATIE REPRÉSENTATIVE;LDIV;Divers;Divers;0;0.0;0.0
2019_euro_t1;2019;euro;1;69003;Albigny-Sur-Saône;ENSEMBLE PATRIOTES;LDLF;Patriotes;Droite souverainiste;2;0.12;0.23
2019_euro_t1;2019;euro;1;69003;Albigny-Sur-Saône;ENSEMBLE POUR LE FREXIT;LDLF;Souverainiste;Droite souverainiste;9;0.53;1.02
2019_euro_t1;2019;euro;1;69003;Albigny-Sur-Saône;ENVIE D'EUROPE;LSOC;Parti Socialiste;Gauche;36;2.13;4.09
2019_euro_t1;2019;euro;1;69003;Albigny-Sur-Saône;ESPERANTO;LDIV;Divers;Divers;2;0.12;0.23
2019_euro_t1;2019;euro;1;69003;Albigny-Sur-Saône;EUROPE AU SERVICE PEUPLES;LFG;Front de Gauche / NUPES;Gauche radicale;0;0.0;0.0
2019_euro_t1;2019;euro;1;69003;Albigny-Sur-Saône;EUROPE ÉCOLOGIE;LECO;Europe Ecologie Les Verts;Ecologie;182;10.78;20.66
2019_euro_t1;2019;euro;1;69003;Albigny-Sur-Saône;INITIATIVE CITOYENNE;LDVG;Divers gauche;Gauche;0;0.0;0.0
2019_euro_t1;2019;euro;1;69003;Albigny-Sur-Saône;LA FRANCE INSOUMISE;LFI;La France Insoumise;Gauche radicale;27;1.6;3.06
2019_euro_t1;2019;euro;1;69003;Albigny-Sur-Saône;LA LIGNE CLAIRE;LEXD;Extreme droite;Extreme droite;0;0.0;0.0
2019_euro_t1;2019;euro;1;69003;Albigny-Sur-Saône;LES EUROPÉENS;LENS;Ensemble (Renaissance / LREM);Centre;16;0.95;1.82
2019_euro_t1;2019;euro;1;69003;Albigny-Sur-Saône;LES OUBLIES DE L'EUROPE;LDIV;Divers;Divers;1;0.06;0.11
2019_euro_t1;2019;euro;1;69003;Albigny-Sur-Saône;LISTE CITOYENNE;LDVG;Divers gauche;Gauche;26;1.54;2.95
2019_euro_t1;2019;euro;1;69003;Albigny-Sur-Saône;LISTE DE LA RECONQUÊTE;LREC;Reconquete;Extreme droite;0;0.0;0.0
2019_euro_t1;2019;euro;1;69003;Albigny-Sur-Saône;LUTTE OUVRIÈRE;LEXG;Lutte Ouvriere;Extreme gauche;1;0.06;0.11
2019_euro_t1;2019;euro;1;69003;Albigny-Sur-Saône;NEUTRE ET ACTIF;LDIV;Divers;Divers;0;0.0;0.0
2019_euro_t1;2019;euro;1;69003;Albigny-Sur-Saône;PACE;LDIV;Divers;Divers;1;0.06;0.11
2019_euro_t1;2019;euro;1;69003;Albigny-Sur-Saône;PARTI ANIMALISTE;LECO;Parti Animaliste;Ecologie;16;0.95;1.82
2019_euro_t1;2019;euro;1;69003;Albigny-Sur-Saône;PARTI FED. EUROPÉEN;LDIV;Divers;Divers;1;0.06;0.11
2019_euro_t1;2019;euro;1;69003;Albigny-Sur-Saône;PARTI PIRATE;LDIV;Divers;Divers;2;0.12;0.23
2019_euro_t1;2019;euro;1;69003;Albigny-Sur-Saône;POUR L'EUROPE DES GENS;LFG;Front de Gauche / NUPES;Gauche radicale;7;0.41;0.79
2019_euro_t1;2019;euro;1;69003;Albigny-Sur-Saône;PRENEZ LE POUVOIR;LDVG;Divers gauche;Gauche;192;11.37;21.79
2019_euro_t1;2019;euro;1;69003;Albigny-Sur-Saône;RENAISSANCE;LENS;Ensemble (Renaissance / LREM);Centre;204;12.09;23.16
2019_euro_t1;2019;euro;1;69003;Albigny-Sur-Saône;RÉVOLUTIONNAIRE;LEXG;Extreme gauche;Extreme gauche;0;0.0;0.0
2019_euro_t1;2019;euro;1;69003;Albigny-Sur-Saône;UDLEF;LDVD;Divers droite;Droite;0;0.0;0.0
2019_euro_t1;2019;euro;1;69003;Albigny-Sur-Saône;UNE FRANCE ROYALE;LEXD;Extreme droite;Extreme droite;0;0.0;0.0
2019_euro_t1;2019;euro;1;69003;Albigny-Sur-Saône;UNION DROITE-CENTRE;LDVD;Divers droite;Droite;107;6.34;12.15
2019_euro_t1;2019;euro;1;69003;Albigny-Sur-Saône;URGENCE ÉCOLOGIE;LECO;Europe Ecologie Les Verts;Ecologie;22;1.3;2.5
2019_euro_t1;2019;euro;1;69003;Albigny-Sur-Saône;À VOIX ÉGALES;LDVG;Divers gauche;Gauche;0;0.0;0.0
2019_euro_t1;2019;euro;1;69003;Albigny-Sur-Saône;ÉVOLUTION CITOYENNE;LDIV;Divers;Divers;1;0.06;0.11
2019_euro_t1;2019;euro;1;69004;Alix;ALLIANCE JAUNE;LDIV;Gilets Jaunes;Divers;1;0.21;0.39
2019_euro_t1;2019;euro;1;69004;Alix;ALLONS ENFANTS;LDIV;Divers;Divers;0;0.0;0.0
2019_euro_t1;2019;euro;1;69004;Alix;DEBOUT LA FRANCE;LDLF;Debout la France;Droite souverainiste;5;1.07;1.93
2019_euro_t1;2019;euro;1;69004;Alix;DÉCROISSANCE 2019;LECO;Decroissance;Ecologie;0;0.0;0.0
2019_euro_t1;2019;euro;1;69004;Alix;DÉMOCRATIE REPRÉSENTATIVE;LDIV;Divers;Divers;0;0.0;0.0
2019_euro_t1;2019;euro;1;69004;Alix;ENSEMBLE PATRIOTES;LDLF;Patriotes;Droite souverainiste;1;0.21;0.39
2019_euro_t1;2019;euro;1;69004;Alix;ENSEMBLE POUR LE FREXIT;LDLF;Souverainiste;Droite souverainiste;7;1.49;2.7
2019_euro_t1;2019;euro;1;69004;Alix;ENVIE D'EUROPE;LSOC;Parti Socialiste;Gauche;15;3.2;5.79
2019_euro_t1;2019;euro;1;69004;Alix;ESPERANTO;LDIV;Divers;Divers;1;0.21;0.39
2019_euro_t1;2019;euro;1;69004;Alix;EUROPE AU SERVICE PEUPLES;LFG;Front de Gauche / NUPES;Gauche radicale;0;0.0;0.0
2019_euro_t1;2019;euro;1;69004;Alix;EUROPE ÉCOLOGIE;LECO;Europe Ecologie Les Verts;Ecologie;45;9.59;17.37
2019_euro_t1;2019;euro;1;69004;Alix;INITIATIVE CITOYENNE;LDVG;Divers gauche;Gauche;0;0.0;0.0
2019_euro_t1;2019;euro;1;69004;Alix;LA FRANCE INSOUMISE;LFI;La France Insoumise;Gauche radicale;8;1.71;3.09
2019_euro_t1;2019;euro;1;69004;Alix;LA LIGNE CLAIRE;LEXD;Extreme droite;Extreme droite;0;0.0;0.0
2019_euro_t1;2019;euro;1;69004;Alix;LES EUROPÉENS;LENS;Ensemble (Renaissance / LREM);Centre;12;2.56;4.63
2019_euro_t1;2019;euro;1;69004;Alix;LES OUBLIES DE L'EUROPE;LDIV;Divers;Divers;0;0.0;0.0
2019_euro_t1;2019;euro;1;69004;Alix;LISTE CITOYENNE;LDVG;Divers gauche;Gauche;0;0.0;0.0
2019_euro_t1;2019;euro;1;69004;Alix;LISTE DE LA RECONQUÊTE;LREC;Reconquete;Extreme droite;0;0.0;0.0
2019_euro_t1;2019;euro;1;69004;Alix;LUTTE OUVRIÈRE;LEXG;Lutte Ouvriere;Extreme gauche;2;0.43;0.77
2019_euro_t1;2019;euro;1;69004;Alix;NEUTRE ET ACTIF;LDIV;Divers;Divers;0;0.0;0.0
