id_election;annee;type_election;tour;code_commune;libelle_commune;nom;nuance;parti_politique;famille_politique;voix;ratio_voix_inscrits;ratio_voix_exprimes
2017_pres_t1;2017;pres;1;69004;Alix;MÉLENCHON;FI;La France Insoumise;Gauche radicale;48;10.55;13.33
2017_pres_t1;2017;pres;1;69004;Alix;POUTOU;EXG;Nouveau Parti Anticapitaliste;Extreme gauche;0;0.0;0.0
2017_pres_t1;2017;pres;1;69005;Ambérieux;ARTHAUD;EXG;Lutte Ouvriere;Extreme gauche;1;0.24;0.29
2017_pres_t1;2017;pres;1;69005;Ambérieux;ASSELINEAU;EXD;Union Populaire Republicaine;Droite souverainiste;3;0.71;0.88
2017_pres_t1;2017;pres;1;69005;Ambérieux;CHEMINADE;DIV;Solidarite et Progres;Divers;0;0.0;0.0
2017_pres_t1;2017;pres;1;69005;Ambérieux;DUPONT-AIGNAN;DLF;Debout la France;Droite souverainiste;19;4.52;5.56
2017_pres_t1;2017;pres;1;69005;Ambérieux;FILLON;LR;Les Republicains;Droite;79;18.81;23.1
2017_pres_t1;2017;pres;1;69005;Ambérieux;HAMON;SOC;Parti Socialiste;Gauche;11;2.62;3.22
2017_pres_t1;2017;pres;1;69005;Ambérieux;LASSALLE;DIV;Resistons;Divers;4;0.95;1.17
2017_pres_t1;2017;pres;1;69005;Ambérieux;LE PEN;RN;Rassemblement National;Extreme droite;126;30.0;36.84
2017_pres_t1;2017;pres;1;69005;Ambérieux;MACRON;ENS;En Marche / Renaissance;Centre;64;15.24;18.71
2017_pres_t1;2017;pres;1;69005;Ambérieux;MÉLENCHON;FI;La France Insoumise;Gauche radicale;31;7.38;9.06
2017_pres_t1;2017;pres;1;69005;Ambérieux;POUTOU;EXG;Nouveau Parti Anticapitaliste;Extreme gauche;4;0.95;1.17
2017_pres_t1;2017;pres;1;69006;Amplepuis;ARTHAUD;EXG;Lutte Ouvriere;Extreme gauche;32;0.89;1.16
2017_pres_t1;2017;pres;1;69006;Amplepuis;ASSELINEAU;EXD;Union Populaire Republicaine;Droite souverainiste;17;0.47;0.62
2017_pres_t1;2017;pres;1;69006;Amplepuis;CHEMINADE;DIV;Solidarite et Progres;Divers;6;0.17;0.22
2017_pres_t1;2017;pres;1;69006;Amplepuis;DUPONT-AIGNAN;DLF;Debout la France;Droite souverainiste;186;5.18;6.73
2017_pres_t1;2017;pres;1;69006;Amplepuis;FILLON;LR;Les Republicains;Droite;570;15.87;20.63
2017_pres_t1;2017;pres;1;69006;Amplepuis;HAMON;SOC;Parti Socialiste;Gauche;128;3.56;4.63
2017_pres_t1;2017;pres;1;69006;Amplepuis;LASSALLE;DIV;Resistons;Divers;31;0.86;1.12
2017_pres_t1;2017;pres;1;69006;Amplepuis;LE PEN;RN;Rassemblement National;Extreme droite;767;21.36;27.76
2017_pres_t1;2017;pres;1;69006;Amplepuis;MACRON;ENS;En Marche / Renaissance;Centre;545;15.18;19.72
2017_pres_t1;2017;pres;1;69006;Amplepuis;MÉLENCHON;FI;La France Insoumise;Gauche radicale;455;12.67;16.47
2017_pres_t1;2017;pres;1;69006;Amplepuis;POUTOU;EXG;Nouveau Parti Anticapitaliste;Extreme gauche;26;0.72;0.94
2017_pres_t1;2017;pres;1;69007;Ampuis;ARTHAUD;EXG;Lutte Ouvriere;Extreme gauche;12;0.6;0.73
2017_pres_t1;2017;pres;1;69007;Ampuis;ASSELINEAU;EXD;Union Populaire Republicaine;Droite souverainiste;14;0.7;0.86
2017_pres_t1;2017;pres;1;69007;Ampuis;CHEMINADE;DIV;Solidarite et Progres;Divers;7;0.35;0.43
2017_pres_t1;2017;pres;1;69007;Ampuis;DUPONT-AIGNAN;DLF;Debout la France;Droite souverainiste;121;6.07;7.4
2017_pres_t1;2017;pres;1;69007;Ampuis;FILLON;LR;Les Republicains;Droite;349;17.5;21.33
2017_pres_t1;2017;pres;1;69007;Ampuis;HAMON;SOC;Parti Socialiste;Gauche;62;3.11;3.79
2017_pres_t1;2017;pres;1;69007;Ampuis;LASSALLE;DIV;Resistons;Divers;31;1.55;1.89
2017_pres_t1;2017;pres;1;69007;Ampuis;LE PEN;RN;Rassemblement National;Extreme droite;462;23.17;28.24
2017_pres_t1;2017;pres;1;69007;Ampuis;MACRON;ENS;En Marche / Renaissance;Centre;378;18.96;23.11
2017_pres_t1;2017;pres;1;69007;Ampuis;MÉLENCHON;FI;La France Insoumise;Gauche radicale;179;8.98;10.94
2017_pres_t1;2017;pres;1;69007;Ampuis;POUTOU;EXG;Nouveau Parti Anticapitaliste;Extreme gauche;21;1.05;1.28
2017_pres_t1;2017;pres;1;69008;Ancy;ARTHAUD;EXG;Lutte Ouvriere;Extreme gauche;1;0.21;0.25
2017_pres_t1;2017;pres;1;69008;Ancy;ASSELINEAU;EXD;Union Populaire Republicaine;Droite souverainiste;4;0.86;1.01
2017_pres_t1;2017;pres;1;69008;Ancy;CHEMINADE;DIV;Solidarite et Progres;Divers;1;0.21;0.25
2017_pres_t1;2017;pres;1;69008;Ancy;DUPONT-AIGNAN;DLF;Debout la France;Droite souverainiste;33;7.08;8.29
2017_pres_t1;2017;pres;1;69008;Ancy;FILLON;LR;Les Republicains;Droite;114;24.46;28.64
2017_pres_t1;2017;pres;1;69008;Ancy;HAMON;SOC;Parti Socialiste;Gauche;26;5.58;6.53
2017_pres_t1;2017;pres;1;69008;Ancy;LASSALLE;DIV;Resistons;Divers;2;0.43;0.5
2017_pres_t1;2017;pres;1;69008;Ancy;LE PEN;RN;Rassemblement National;Extreme droite;95;20.39;23.87
2017_pres_t1;2017;pres;1;69008;Ancy;MACRON;ENS;En Marche / Renaissance;Centre;70;15.02;17.59
2017_pres_t1;2017;pres;1;69008;Ancy;MÉLENCHON;FI;La France Insoumise;Gauche radicale;51;10.94;12.81
2017_pres_t1;2017;pres;1;69008;Ancy;POUTOU;EXG;Nouveau Parti Anticapitaliste;Extreme gauche;1;0.21;0.25
2017_pres_t1;2017;pres;1;69009;Anse;ARTHAUD;EXG;Lutte Ouvriere;Extreme gauche;9;0.2;0.25
2017_pres_t1;2017;pres;1;69009;Anse;ASSELINEAU;EXD;Union Populaire Republicaine;Droite souverainiste;33;0.72;0.91
2017_pres_t1;2017;pres;1;69009;Anse;CHEMINADE;DIV;Solidarite et Progres;Divers;9;0.2;0.25
2017_pres_t1;2017;pres;1;69009;Anse;DUPONT-AIGNAN;DLF;Debout la France;Droite souverainiste;200;4.38;5.51
2017_pres_t1;2017;pres;1;69009;Anse;FILLON;LR;Les Republicains;Droite;775;16.95;21.37
2017_pres_t1;2017;pres;1;69009;Anse;HAMON;SOC;Parti Socialiste;Gauche;212;4.64;5.85
2017_pres_t1;2017;pres;1;69009;Anse;LASSALLE;DIV;Resistons;Divers;34;0.74;0.94
2017_pres_t1;2017;pres;1;69009;Anse;LE PEN;RN;Rassemblement National;Extreme droite;756;16.54;20.84
2017_pres_t1;2017;pres;1;69009;Anse;MACRON;ENS;En Marche / Renaissance;Centre;958;20.96;26.41
2017_pres_t1;2017;pres;1;69009;Anse;MÉLENCHON;FI;La France Insoumise;Gauche radicale;603;13.19;16.63
2017_pres_t1;2017;pres;1;69009;Anse;POUTOU;EXG;Nouveau Parti Anticapitaliste;Extreme gauche;38;0.83;1.05
2017_pres_t1;2017;pres;1;69010;L'Arbresle;ARTHAUD;EXG;Lutte Ouvriere;Extreme gauche;21;0.51;0.67
2017_pres_t1;2017;pres;1;69010;L'Arbresle;ASSELINEAU;EXD;Union Populaire Republicaine;Droite souverainiste;31;0.75;0.99
2017_pres_t1;2017;pres;1;69010;L'Arbresle;CHEMINADE;DIV;Solidarite et Progres;Divers;5;0.12;0.16
2017_pres_t1;2017;pres;1;69010;L'Arbresle;DUPONT-AIGNAN;DLF;Debout la France;Droite souverainiste;211;5.11;6.72
2017_pres_t1;2017;pres;1;69010;L'Arbresle;FILLON;LR;Les Republicains;Droite;487;11.79;15.5
2017_pres_t1;2017;pres;1;69010;L'Arbresle;HAMON;SOC;Parti Socialiste;Gauche;233;5.64;7.42
2017_pres_t1;2017;pres;1;69010;L'Arbresle;LASSALLE;DIV;Resistons;Divers;38;0.92;1.21
2017_pres_t1;2017;pres;1;69010;L'Arbresle;LE PEN;RN;Rassemblement National;Extreme droite;564;13.65;17.96
2017_pres_t1;2017;pres;1;69010;L'Arbresle;MACRON;ENS;En Marche / Renaissance;Centre;808;19.56;25.72
2017_pres_t1;2017;pres;1;69010;L'Arbresle;MÉLENCHON;FI;La France Insoumise;Gauche radicale;715;17.31;22.76
2017_pres_t1;2017;pres;1;69010;L'Arbresle;POUTOU;EXG;Nouveau Parti Anticapitaliste;Extreme gauche;28;0.68;0.89
2017_pres_t1;2017;pres;1;69012;Les Ardillats;ARTHAUD;EXG;Lutte Ouvriere;Extreme gauche;1;0.2;0.24
2017_pres_t1;2017;pres;1;69012;Les Ardillats;ASSELINEAU;EXD;Union Populaire Republicaine;Droite souverainiste;1;0.2;0.24
2017_pres_t1;2017;pres;1;69012;Les Ardillats;CHEMINADE;DIV;Solidarite et Progres;Divers;1;0.2;0.24
2017_pres_t1;2017;pres;1;69012;Les Ardillats;DUPONT-AIGNAN;DLF;Debout la France;Droite souverainiste;28;5.51;6.62
2017_pres_t1;2017;pres;1;69012;Les Ardillats;FILLON;LR;Les Republicains;Droite;89;17.52;21.04
