id_election;id_brut_miom;code_departement;libelle_departement;code_commune;libelle_commune;code_circonscription;libelle_circonscription;code_bv;inscrits;abstentions;votants;nuls;exprimes;ratio_abstentions_inscrits;ratio_votants_inscrits;ratio_nuls_inscrits;ratio_nuls_votants;ratio_exprimes_inscrits;ratio_exprimes_votants;annee;type_election;tour;taux_participation
2017_pres_t1;69123_0330;69;Rhône;69123;Lyon;04;4ème circonscription;0330;1053;237;816;3;799;22.51;77.49;0.28;0.37;75.88;97.92;2017;pres;1;77.49
2017_pres_t1;69123_0331;69;Rhône;69123;Lyon;04;4ème circonscription;0331;971;203;768;7;742;20.91;79.09;0.72;0.91;76.42;96.61;2017;pres;1;79.09
2017_pres_t1;69123_0332;69;Rhône;69123;Lyon;04;4ème circonscription;0332;1026;213;813;4;802;20.76;79.24;0.39;0.49;78.17;98.65;2017;pres;1;79.24
2017_pres_t1;69123_0333;69;Rhône;69123;Lyon;04;4ème circonscription;0333;987;153;834;2;827;15.5;84.5;0.2;0.24;83.79;99.16;2017;pres;1;84.5
2017_pres_t1;69123_0334;69;Rhône;69123;Lyon;04;4ème circonscription;0334;906;178;728;2;720;19.65;80.35;0.22;0.27;79.47;98.9;2017;pres;1;80.35
2017_pres_t1;69123_0335;69;Rhône;69123;Lyon;04;4ème circonscription;0335;914;177;737;2;728;19.37;80.63;0.22;0.27;79.65;98.78;2017;pres;1;80.63
2017_pres_t1;69123_0336;69;Rhône;69123;Lyon;04;4ème circonscription;0336;846;142;704;0;699;16.78;83.22;0.0;0.0;82.62;99.29;2017;pres;1;83.22
2017_pres_t1;69123_0337;69;Rhône;69123;Lyon;04;4ème circonscription;0337;995;163;832;3;824;16.38;83.62;0.3;0.36;82.81;99.04;2017;pres;1;83.62
2017_pres_t1;69123_0338;69;Rhône;69123;Lyon;04;4ème circonscription;0338;1014;180;834;2;820;17.75;82.25;0.2;0.24;80.87;98.32;2017;pres;1;82.25
2017_pres_t1;69123_0339;69;Rhône;69123;Lyon;04;4ème circonscription;0339;1178;240;938;6;917;20.37;79.63;0.51;0.64;77.84;97.76;2017;pres;1;79.63
2017_pres_t1;69123_0340;69;Rhône;69123;Lyon;04;4ème circonscription;0340;949;161;788;3;775;16.97;83.03;0.32;0.38;81.66;98.35;2017;pres;1;83.03
2017_pres_t1;69123_0341;69;Rhône;69123;Lyon;04;4ème circonscription;0341;852;137;715;1;704;16.08;83.92;0.12;0.14;82.63;98.46;2017;pres;1;83.92
2017_pres_t1;69123_0342;69;Rhône;69123;Lyon;04;4ème circonscription;0342;787;123;664;5;649;15.63;84.37;0.64;0.75;82.47;97.74;2017;pres;1;84.37
2017_pres_t1;69123_0343;69;Rhône;69123;Lyon;04;4ème circonscription;0343;948;166;782;2;774;17.51;82.49;0.21;0.26;81.65;98.98;2017;pres;1;82.49
2017_pres_t1;69123_0344;69;Rhône;69123;Lyon;04;4ème circonscription;0344;984;160;824;1;812;16.26;83.74;0.1;0.12;82.52;98.54;2017;pres;1;83.74
2017_pres_t1;69123_0345;69;Rhône;69123;Lyon;04;4ème circonscription;0345;950;145;805;6;784;15.26;84.74;0.63;0.75;82.53;97.39;2017;pres;1;84.74
